+----------------------------+----------------+----------+--------------------+---------------------+-----------------------------------+------------------------+
| Department                 | Admission_Year | KEN_Code | Total_Base_Revenue | Total_Extra_Revenue | Insurance_Provider                | Total_Hospitalizations |
+----------------------------+----------------+----------+--------------------+---------------------+-----------------------------------+------------------------+
| Δερματολογία               |           2023 | Α01Χ     |               2712 |                1000 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2023 | Α02Μα    |               3922 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Δερματολογία               |           2023 | Ε08Μ     |              10017 |                   0 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2023 | Η02Μβ    |               2578 |                   0 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2023 | Η02Χ     |               2079 |                 300 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2023 | Θ04Χ     |               2848 |                 700 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2023 | Θ05Χ     |               1218 |                 600 | Ιδιωτική Ασφάλεια                 |                      1 |
| Δερματολογία               |           2023 | Ι22Χ     |                366 |                 600 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2023 | Κ01Χ     |              12420 |                1300 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2023 | Μ64Μ     |               2669 |                 100 | Ιδιωτική Ασφάλεια                 |                      1 |
| Δερματολογία               |           2023 | Μ79Χ     |               1370 |                 400 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2023 | Ρ05Χ     |               2140 |                   0 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2023 | Τ01Α     |               1381 |                1800 | Ιδιωτική Ασφάλεια                 |                      1 |
| Δερματολογία               |           2023 | Υ20Μα    |               2934 |                 300 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2023 | Ω35Α     |                265 |                1300 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2023 | G01Μα    |               5709 |                   0 | Ανασφάλιστος                      |                      1 |
| Επείγοντα                  |           2023 | Β02Χ     |               1007 |                 200 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2023 | Ε07Α     |              26508 |                   0 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2023 | Η42Χ     |                708 |                1700 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2023 | Κ06Χ     |               5077 |                   0 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2023 | Κ18Χ     |               1146 |                 900 | Ιδιωτική Ασφάλεια                 |                      1 |
| Επείγοντα                  |           2023 | Λ04Μ     |               1807 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Επείγοντα                  |           2023 | Μ02Μ     |               9110 |                   0 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2023 | Μ25Χ     |               1260 |                 600 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2023 | Ν26Χ     |                872 |                 900 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2023 | Ν37Α     |                335 |                1200 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2023 | Ο20Μ     |               1860 |                   0 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2023 | Π03Χβ    |               1813 |                 300 | Ιδιωτική Ασφάλεια                 |                      1 |
| Επείγοντα                  |           2023 | Π40Χ     |                677 |                 900 | Ανασφάλιστος                      |                      1 |
| Επείγοντα                  |           2023 | Φ60Χ     |                288 |                 900 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2023 | Ω37Β     |                661 |                1500 | Ιδιωτική Ασφάλεια                 |                      1 |
| Καρδιολογία                |           2023 | Ε06Μ     |              39863 |                   0 | Ανασφάλιστος                      |                      1 |
| Καρδιολογία                |           2023 | Ζ02Χ     |               2979 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Καρδιολογία                |           2023 | Θ24Χ     |                669 |                1300 | Ιδιωτική Ασφάλεια                 |                      1 |
| Καρδιολογία                |           2023 | Κ06Μ     |               7182 |                 900 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2023 | Μ27Μ     |               2179 |                 400 | Ιδιωτική Ασφάλεια                 |                      1 |
| Καρδιολογία                |           2023 | Μ65Χ     |               1222 |                   0 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2023 | Ν07Χ     |               1110 |                   0 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2023 | Ο61Χ     |                482 |                1000 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2023 | Υ20Μβ    |               1300 |                1300 | Ανασφάλιστος                      |                      1 |
| Καρδιολογία                |           2023 | Υ26Α     |                440 |                 800 | ΕΦΚΑ                              |                      1 |
| Μαιευτική                  |           2023 | Β20Μ     |               1323 |                1000 | ΕΦΚΑ                              |                      1 |
| Μαιευτική                  |           2023 | Κ34Χ     |                981 |                   0 | ΕΦΚΑ                              |                      1 |
| Μαιευτική                  |           2023 | Μ02Μ     |               9110 |                   0 | ΕΦΚΑ                              |                      1 |
| Μαιευτική                  |           2023 | Μ05Μ     |               7705 |                 100 | Ιδιωτική Ασφάλεια                 |                      1 |
| Μαιευτική                  |           2023 | Μ10Χ     |               1908 |                 400 | ΕΦΚΑ                              |                      1 |
| Μαιευτική                  |           2023 | Μ61Μ     |               2210 |                   0 | ΕΦΚΑ                              |                      1 |
| Μαιευτική                  |           2023 | Π44Χ     |               1073 |                1500 | Ιδιωτική Ασφάλεια                 |                      1 |
| Μαιευτική                  |           2023 | Τ25Χ     |               2646 |                   0 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2023 | Α23Α     |                319 |                1500 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2023 | Α24Μ     |               1821 |                 800 | Ιδιωτική Ασφάλεια                 |                      1 |
| ΜΕΘ                        |           2023 | Β02Χ     |               1007 |                1700 | Ιδιωτική Ασφάλεια                 |                      1 |
| ΜΕΘ                        |           2023 | Γ20Χ     |                755 |                 900 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2023 | Δ24Χ     |                802 |                 300 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2023 | Θ01Μ     |              12404 |                   0 | ΕΦΚΑ                              |                      2 |
| ΜΕΘ                        |           2023 | Ι22Μ     |                910 |                 300 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2023 | Κ13Μ     |               3969 |                   0 | Ανασφάλιστος                      |                      1 |
| ΜΕΘ                        |           2023 | Κ30Μ     |               6295 |                   0 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2023 | Π06Α     |               1037 |                   0 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2023 | Π07Μ     |               1550 |                   0 | Ανασφάλιστος                      |                      1 |
| ΜΕΘ                        |           2023 | Π47Χ     |                335 |                 400 | Ανασφάλιστος                      |                      1 |
| ΜΕΘ                        |           2023 | Τ24Α     |               5818 |                   0 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2023 | Υ04Μ     |               4355 |                   0 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2023 | Χ20Α     |                148 |                 400 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νευρολογία                 |           2023 | Α12Χ     |               1798 |                   0 | ΕΦΚΑ                              |                      1 |
