Department	shift_date	shift_type	Main_Profession	Subclass_Role	Staff_Count
Δερματολογία	2026-05-10	Afternoon	Admin	Λογιστής	2
Δερματολογία	2026-05-10	Afternoon	Doctor	Δερματολογία	1
Δερματολογία	2026-05-10	Afternoon	Doctor	Παθολογία	2
Δερματολογία	2026-05-10	Afternoon	Nurse	Προϊστάμενος	1
Δερματολογία	2026-05-10	Afternoon	Nurse	Νοσηλευτής	5
Επείγοντα	2026-05-10	Afternoon	Admin	Γραμματέας	2
Επείγοντα	2026-05-10	Afternoon	Doctor	Καρδιολογία	2
Επείγοντα	2026-05-10	Afternoon	Doctor	Παθολογία	1
Επείγοντα	2026-05-10	Afternoon	Nurse	Βοηθός Νοσηλευτή	2
Επείγοντα	2026-05-10	Afternoon	Nurse	Προϊστάμενος	2
Επείγοντα	2026-05-10	Afternoon	Nurse	Νοσηλευτής	2
Καρδιολογία	2026-05-10	Afternoon	Admin	Λογιστής	1
Καρδιολογία	2026-05-10	Afternoon	Admin	Διαχειριστής	1
Καρδιολογία	2026-05-10	Afternoon	Doctor	Αιματολογία	2
Καρδιολογία	2026-05-10	Afternoon	Doctor	Καρδιολογία	1
Καρδιολογία	2026-05-10	Afternoon	Nurse	Βοηθός Νοσηλευτή	1
Καρδιολογία	2026-05-10	Afternoon	Nurse	Νοσηλευτής	2
Καρδιολογία	2026-05-10	Afternoon	Nurse	Προϊστάμενος	3
Μαιευτική	2026-05-10	Afternoon	Admin	Γραμματέας	1
Μαιευτική	2026-05-10	Afternoon	Admin	Υπεύθυνος Προμηθειών	1
Μαιευτική	2026-05-10	Afternoon	Doctor	Γυναικολογία	1
Μαιευτική	2026-05-10	Afternoon	Doctor	Μαιευτική-Γυναικολογία	2
Μαιευτική	2026-05-10	Afternoon	Nurse	Προϊστάμενος	1
Μαιευτική	2026-05-10	Afternoon	Nurse	Βοηθός Νοσηλευτή	5
ΜΕΘ	2026-05-10	Afternoon	Admin	Λογιστής	1
ΜΕΘ	2026-05-10	Afternoon	Admin	Διαχειριστής	1
ΜΕΘ	2026-05-10	Afternoon	Doctor	Παθολογία	1
ΜΕΘ	2026-05-10	Afternoon	Doctor	Καρδιολογία	2
ΜΕΘ	2026-05-10	Afternoon	Nurse	Προϊστάμενος	4
ΜΕΘ	2026-05-10	Afternoon	Nurse	Νοσηλευτής	2
Νευρολογία	2026-05-10	Afternoon	Admin	Λογιστής	1
Νευρολογία	2026-05-10	Afternoon	Admin	Διαχειριστής	1
Νευρολογία	2026-05-10	Afternoon	Doctor	Ψυχιατρική	2
Νευρολογία	2026-05-10	Afternoon	Doctor	Νευρολογία	1
Νευρολογία	2026-05-10	Afternoon	Nurse	Βοηθός Νοσηλευτή	1
Νευρολογία	2026-05-10	Afternoon	Nurse	Νοσηλευτής	2
Νευρολογία	2026-05-10	Afternoon	Nurse	Προϊστάμενος	3
Νεφρολογία	2026-05-10	Afternoon	Admin	Υπεύθυνος Προμηθειών	1
Νεφρολογία	2026-05-10	Afternoon	Admin	Διαχειριστής	1
Νεφρολογία	2026-05-10	Afternoon	Doctor	Νεφρολογία	1
Νεφρολογία	2026-05-10	Afternoon	Doctor	Παθολογία	2
Νεφρολογία	2026-05-10	Afternoon	Nurse	Βοηθός Νοσηλευτή	3
Νεφρολογία	2026-05-10	Afternoon	Nurse	Νοσηλευτής	1
Νεφρολογία	2026-05-10	Afternoon	Nurse	Προϊστάμενος	2
Ογκολογία	2026-05-10	Afternoon	Admin	Υπεύθυνος Προμηθειών	1
Ογκολογία	2026-05-10	Afternoon	Admin	Λογιστής	1
Ογκολογία	2026-05-10	Afternoon	Doctor	Ογκολογία	3
Ογκολογία	2026-05-10	Afternoon	Nurse	Νοσηλευτής	4
Ογκολογία	2026-05-10	Afternoon	Nurse	Βοηθός Νοσηλευτή	2
Ορθοπεδική	2026-05-10	Afternoon	Admin	Γραμματέας	1
Ορθοπεδική	2026-05-10	Afternoon	Admin	Διαχειριστής	1
Ορθοπεδική	2026-05-10	Afternoon	Doctor	Ορθοπεδική	1
Ορθοπεδική	2026-05-10	Afternoon	Doctor	Ρευματολογία	2
Ορθοπεδική	2026-05-10	Afternoon	Nurse	Βοηθός Νοσηλευτή	3
Ορθοπεδική	2026-05-10	Afternoon	Nurse	Νοσηλευτής	1
Ορθοπεδική	2026-05-10	Afternoon	Nurse	Προϊστάμενος	2
Ουρολογία	2026-05-10	Afternoon	Admin	Διαχειριστής	1
Ουρολογία	2026-05-10	Afternoon	Admin	Γραμματέας	1
Ουρολογία	2026-05-10	Afternoon	Doctor	Ουρολογία	3
Ουρολογία	2026-05-10	Afternoon	Nurse	Προϊστάμενος	2
Ουρολογία	2026-05-10	Afternoon	Nurse	Νοσηλευτής	4
Οφθαλμολογία	2026-05-10	Afternoon	Admin	Διαχειριστής	2
Οφθαλμολογία	2026-05-10	Afternoon	Doctor	Οφθαλμολογία	1
Οφθαλμολογία	2026-05-10	Afternoon	Doctor	Χειρουργική	2
Οφθαλμολογία	2026-05-10	Afternoon	Nurse	Νοσηλευτής	5
Οφθαλμολογία	2026-05-10	Afternoon	Nurse	Προϊστάμενος	1
Παιδιατρική	2026-05-10	Afternoon	Admin	Λογιστής	1
Παιδιατρική	2026-05-10	Afternoon	Admin	Διαχειριστής	1
Παιδιατρική	2026-05-10	Afternoon	Doctor	Οφθαλμολογία	1
