+---------------+----------------------------+-------+--------------+
| Urgency_Level | Referred_Department        | Cases | Avg_Wait_Min |
+---------------+----------------------------+-------+--------------+
|             1 | ΜΕΘ                        |    25 |          411 |
|             1 | Επείγοντα                  |    19 |          355 |
|             1 | Δερματολογία               |    17 |          416 |
|             1 | Ουρολογία                  |    14 |          381 |
|             1 | ΩΡΛ                        |    13 |          403 |
|             1 | Πνευμονολογία              |    12 |          399 |
|             1 | Οφθαλμολογία               |    10 |          515 |
|             1 | Νεφρολογία                 |     9 |          469 |
|             1 | Νευρολογία                 |     8 |          401 |
|             1 | Χειρουργική                |     8 |          442 |
|             1 | Μαιευτική                  |     8 |          304 |
|             1 | Ορθοπεδική                 |     7 |          243 |
|             1 | Ογκολογία                  |     6 |          545 |
|             1 | — Αποχώρησε —              |     4 |         NULL |
|             1 | Καρδιολογία                |     4 |          438 |
|             1 | Παιδιατρική                |     3 |          548 |
|             2 | Δερματολογία               |    16 |          398 |
|             2 | Επείγοντα                  |    15 |          323 |
|             2 | Ουρολογία                  |    14 |          402 |
|             2 | Νευρολογία                 |    13 |          375 |
|             2 | Ογκολογία                  |    12 |          451 |
|             2 | ΜΕΘ                        |    12 |          481 |
|             2 | Μαιευτική                  |    11 |          498 |
|             2 | Νεφρολογία                 |    11 |          350 |
|             2 | Πνευμονολογία              |    10 |          468 |
|             2 | Χειρουργική                |     9 |          464 |
|             2 | Παιδιατρική                |     9 |          418 |
|             2 | ΩΡΛ                        |     8 |          249 |
|             2 | Καρδιολογία                |     6 |          386 |
|             2 | Οφθαλμολογία               |     5 |          559 |
|             2 | Ορθοπεδική                 |     5 |          327 |
|             3 | — Αποχώρησε —              |    32 |         NULL |
|             3 | Δερματολογία               |    16 |          423 |
|             3 | Χειρουργική                |    14 |          425 |
|             3 | Ογκολογία                  |    11 |          446 |
|             3 | Μαιευτική                  |    10 |          385 |
|             3 | Οφθαλμολογία               |     9 |          379 |
|             3 | Πνευμονολογία              |     9 |          471 |
|             3 | Νευρολογία                 |     9 |          392 |
|             3 | Νεφρολογία                 |     7 |          414 |
|             3 | Ορθοπεδική                 |     6 |          465 |
|             3 | Ουρολογία                  |     6 |          391 |
|             3 | ΩΡΛ                        |     6 |          414 |
|             3 | Καρδιολογία                |     4 |          420 |
|             3 | Παιδιατρική                |     3 |          289 |
|             4 | — Αποχώρησε —              |    44 |         NULL |
|             4 | Παιδιατρική                |    12 |          301 |
|             4 | Μαιευτική                  |    11 |          476 |
|             4 | Νεφρολογία                 |    10 |          419 |
|             4 | Πνευμονολογία              |    10 |          394 |
|             4 | Δερματολογία               |     9 |          354 |
|             4 | Χειρουργική                |     8 |          312 |
|             4 | Ορθοπεδική                 |     8 |          395 |
|             4 | Ογκολογία                  |     8 |          439 |
|             4 | Καρδιολογία                |     7 |          345 |
|             4 | Ουρολογία                  |     6 |          568 |
|             4 | Οφθαλμολογία               |     6 |          469 |
|             4 | ΩΡΛ                        |     5 |          315 |
|             4 | Νευρολογία                 |     5 |          358 |
|             5 | — Αποχώρησε —              |    52 |         NULL |
|             5 | Δερματολογία               |    17 |          432 |
|             5 | Νευρολογία                 |    16 |          417 |
|             5 | Μαιευτική                  |    14 |          462 |
|             5 | Ουρολογία                  |    12 |          439 |
|             5 | Ογκολογία                  |    11 |          471 |
|             5 | Οφθαλμολογία               |    11 |          363 |
|             5 | Πνευμονολογία              |    11 |          341 |
|             5 | Νεφρολογία                 |     9 |          431 |
|             5 | Καρδιολογία                |     7 |          325 |
|             5 | Χειρουργική                |     6 |          354 |
|             5 | Παιδιατρική                |     5 |          561 |
|             5 | ΩΡΛ                        |     4 |          369 |
|             5 | Ορθοπεδική                 |     3 |          359 |
+---------------+----------------------------+-------+--------------+
